structure_max_elevation,footprint_max_elevation,structure_min_elevation,property_id,footprint_extrusion,footprint_min_elevation,structure_extrusion,roof_type
30.0,30.0,20.5,104936,9.0,20.5,9.5,Hip
26.0,26.0,22.5,101334,3.0,22.5,3.5,Gable
27.0,27.0,20.0,104934,6.0,21.5,7.0,Flat
31.0,31.0,22.0,104844,9.0,22.0,9.0,Hip
29.0,26.5,20.5,104849,6.0,20.5,6.0,Flat
29.5,25.0,21.5,104847,3.5,21.5,3.5,Flat
29.5,29.5,21.5,104847,7.0,22.5,8.0,Gable
29.0,26.5,20.5,104849,5.5,20.5,6.0,Gable
35.5,35.5,25.5,104236,8.5,26.5,10.0,Hip
31.0,31.0,22.0,104295,6.5,24.5,9.0,Hip
35.5,33.0,25.5,104236,7.5,25.5,7.5,Flat
33.5,31.5,25.5,104302,6.0,25.5,6.0,Gable
33.0,29.0,23.0,104299,6.0,23.0,6.0,Flat
33.5,33.5,25.5,104302,8.0,25.5,8.0,Hip
31.0,27.0,23.5,104301,3.5,23.5,3.5,Gable
32.0,26.0,22.5,104841,3.5,22.5,3.5,Flat
31.0,29.5,22.0,104843,7.0,22.5,7.5,Flat
32.0,26.0,22.5,104842,3.5,22.5,3.5,Flat
32.0,32.0,22.5,104842,8.0,24.0,9.5,Hip
32.0,32.0,22.5,104842,7.5,24.0,9.5,Hip
31.0,31.0,22.0,104843,9.0,22.0,9.0,Hip
33.0,33.0,23.0,104300,9.0,23.5,10.0,Gable
33.0,28.0,24.0,104840,4.0,24.0,4.0,Flat
31.0,31.0,23.5,104301,6.0,25.0,7.5,Hip
24.5,23.5,20.0,108782,3.5,20.0,3.5,Flat
26.5,23.5,20.0,104943,3.5,20.0,3.5,Flat
27.5,27.5,20.0,104941,7.5,20.0,7.5,Gable
28.0,23.0,20.0,104937,3.0,20.0,3.0,Flat
28.5,23.5,18.0,105001,5.5,18.0,5.5,Hip
23.5,23.5,18.0,105004,4.5,19.5,5.5,Hip
25.5,25.0,19.0,105007,6.0,19.0,6.0,Flat
27.5,22.5,18.0,105003,5.0,18.0,4.5,Flat
21.5,21.5,18.0,105005,3.0,18.0,3.5,Flat
24.0,22.0,17.5,104852,5.0,17.5,4.5,Flat
24.0,24.0,17.5,613977,6.5,17.5,6.5,Flat
24.0,24.0,17.5,613976,6.5,17.5,6.5,Flat
29.0,29.0,18.0,655175,11.0,18.0,11.0,Flat
20.5,20.5,17.5,104304,3.0,17.5,3.0,Flat
25.5,25.5,19.0,105007,6.0,19.5,6.5,Hip
25.0,21.5,17.0,104303,4.5,17.0,4.5,Hip
21.0,21.0,17.0,104854,4.0,17.0,4.0,Gable
24.0,24.0,17.5,104852,6.5,17.5,6.5,Hip
20.5,20.5,17.5,104853,3.5,17.5,3.0,Hip
24.5,21.5,17.0,104307,4.5,17.0,4.5,Flat
24.5,24.5,17.0,104307,7.5,17.0,7.5,Flat
20.5,20.5,18.0,104309,2.5,18.0,2.5,Flat
24.5,22.0,17.5,104310,4.5,17.5,4.5,Flat
24.5,24.5,17.5,104310,6.5,17.5,7.0,Flat
21.5,21.5,17.5,104308,4.0,17.5,4.0,Hip
24.5,24.5,17.5,104310,7.0,17.5,7.0,Hip
20.5,20.5,18.0,104309,2.5,18.0,2.5,Pyramid
23.5,22.5,18.0,105002,4.0,18.0,4.5,Flat
23.0,21.5,19.0,108780,2.0,19.0,2.5,Flat
23.5,20.5,17.5,105001,3.0,17.5,3.0,Gable
26.0,21.5,18.0,104319,3.5,18.0,3.5,Flat
26.0,21.5,18.0,104319,3.0,18.5,3.5,Gable
22.0,22.0,18.0,104315,4.0,18.0,4.0,Flat
23.5,23.5,18.0,104312,5.5,18.0,5.5,Flat
26.0,25.5,18.0,104316,7.5,18.0,7.5,Flat
25.5,22.0,18.0,104315,4.0,18.0,4.0,Flat
22.0,22.0,18.0,104314,4.0,18.0,4.0,Flat
25.5,21.5,17.5,104309,4.0,17.5,4.0,Flat
27.0,27.0,18.0,104311,9.0,18.0,9.0,Flat
25.5,25.5,18.0,104312,7.5,18.0,7.5,Gable
26.0,25.0,18.0,104317,7.0,18.0,7.0,Flat
26.0,25.0,18.0,104318,7.0,18.0,7.0,Flat
26.0,21.5,18.0,104318,3.5,18.0,3.5,Flat
24.5,20.5,17.0,104859,3.5,17.0,3.5,Flat
20.5,20.5,17.0,102408,3.5,17.0,3.5,Gable
20.5,20.5,17.0,102410,3.5,17.0,3.5,Hip
23.0,20.5,17.0,102406,3.5,17.0,3.5,Hip
20.5,20.5,17.0,102407,3.5,17.0,3.5,Hip
21.0,21.0,17.0,104858,4.0,17.0,4.0,Gable
24.5,24.5,17.0,104859,7.5,17.0,7.5,Hip
25.0,25.0,17.0,104861,7.5,17.5,8.0,Flat
24.5,24.5,17.0,104860,7.5,17.0,7.5,Hip
23.0,21.0,17.5,102401,3.5,17.5,3.5,Flat
24.0,24.0,17.0,104499,7.0,17.0,7.0,Hip
19.5,19.5,17.5,104543,2.0,17.5,2.0,Flat
24.5,23.0,17.0,104551,6.0,17.5,6.0,Flat
20.5,20.5,17.0,104553,3.0,17.5,3.5,Hip
20.5,20.5,17.0,104550,3.0,17.5,3.5,Hip
22.0,22.0,17.0,104863,5.0,17.0,5.0,Flat
20.0,20.0,17.0,104868,3.0,17.0,3.0,Flat
23.5,21.0,17.0,104865,3.5,17.0,4.0,Gable
23.5,21.0,17.0,104865,4.0,17.0,4.0,Flat
20.5,19.0,17.0,104866,2.0,17.0,2.0,Flat
26.5,26.5,17.0,104498,9.5,17.0,9.5,Hip
23.5,20.5,17.5,671913,3.0,17.5,3.0,Flat
25.0,20.0,17.0,104540,3.0,17.5,3.0,Flat
25.0,22.0,17.0,104540,5.0,17.5,5.0,Gable
24.5,24.0,17.0,100329,7.0,17.5,7.0,Flat
24.5,24.5,17.0,100331,7.5,17.5,7.5,Gable
24.5,20.0,17.0,100331,3.0,17.0,3.0,Flat
21.0,21.0,17.0,100332,3.5,17.0,4.0,Flat
24.5,21.0,17.0,100330,4.0,17.0,4.0,Flat
21.5,20.5,17.0,100328,3.0,17.5,3.5,Flat
19.5,19.5,17.5,108776,2.5,17.5,2.0,Flat
21.5,20.5,17.0,108772,3.5,17.0,3.5,Flat
22.0,20.5,17.0,108776,3.0,17.5,3.5,Flat
21.5,21.5,17.0,108772,4.5,17.0,4.5,Gable
22.0,21.5,17.0,108771,4.5,17.0,4.5,Flat
24.5,24.5,17.0,100330,7.5,17.5,7.5,Hip
21.5,21.5,17.0,108775,4.5,17.0,4.5,Hip
24.5,20.5,17.5,104536,3.0,17.5,3.0,Flat
21.5,21.5,17.5,104539,4.5,17.5,4.0,Flat
24.5,23.5,17.5,104537,6.0,17.5,6.0,Flat
24.5,20.5,17.5,104538,3.0,17.5,3.0,Flat
24.5,24.5,17.5,104536,7.0,17.5,7.0,Hip
24.5,24.5,17.5,104537,7.0,17.5,7.0,Hip
24.5,23.5,17.5,104538,6.5,17.5,6.0,Hip
20.0,20.0,18.0,109608,2.0,18.0,2.0,Gable
24.5,24.5,18.0,109611,6.5,18.0,6.5,Flat
24.5,21.0,18.0,109609,3.0,18.0,3.0,Flat
24.5,20.5,18.0,109606,1.5,18.5,2.5,Flat
24.5,21.5,18.0,109608,3.0,18.0,3.5,Flat
24.5,24.5,17.5,109607,6.5,18.0,7.0,Gable
20.5,20.5,18.0,109605,2.5,18.0,2.5,Pyramid
20.0,20.0,17.5,100384,2.5,17.5,2.5,Gable
25.0,25.0,17.5,100384,7.5,17.5,7.5,Hip
25.0,25.0,17.5,100381,7.5,17.5,7.5,Hip
25.0,23.0,17.5,100383,5.5,17.5,5.5,Hip
26.5,22.0,18.0,109613,4.0,18.0,4.0,Gable
26.0,26.0,18.0,109604,7.5,18.0,8.0,Flat
36.0,36.0,18.0,109604,18.5,18.0,18.0,Flat
30.5,23.0,18.5,109604,4.5,18.5,4.5,Gable
24.0,21.5,18.0,109612,3.5,18.0,3.5,Flat
27.0,21.5,18.0,109613,3.5,18.0,3.5,Flat
26.5,22.0,18.0,109613,4.0,18.0,4.0,Hip
24.0,21.0,17.5,109618,3.5,17.5,3.5,Flat
24.0,21.0,17.5,109618,3.5,17.5,3.5,Gable
24.0,23.5,17.5,109618,5.5,17.5,6.0,Flat
24.0,21.0,17.5,109618,3.0,18.0,3.5,Flat
21.5,21.5,17.5,109617,4.0,17.5,4.0,Hip
22.0,22.0,18.0,109613,4.0,18.0,4.0,Hip
23.5,21.5,18.0,100379,1.0,20.5,3.5,Gable
26.5,26.5,17.5,108767,9.0,17.5,9.0,Flat
63.0,49.5,18.0,104101,32.0,18.0,31.5,Flat
65.0,60.0,20.0,109491,40.0,20.0,40.0,Flat
26.0,26.0,18.0,104103,8.0,18.0,8.0,Gable
28.5,26.0,22.5,111415,3.5,22.5,3.5,Gable
111.5,27.5,18.0,104080,9.5,18.0,9.5,Flat
49.5,49.5,27.0,606643,22.5,27.0,22.5,Hip
49.0,46.0,26.0,606639,20.0,26.0,20.0,Flat
36.5,35.0,24.5,606675,11.0,24.5,10.5,Hip
36.5,34.0,24.5,606675,10.0,24.5,9.5,Hip
35.0,35.0,21.0,109320,14.0,21.0,14.0,Gable
44.0,44.0,27.0,21622,17.5,27.0,17.0,Gable
36.5,36.5,22.5,109387,9.0,27.5,14.0,Flat
32.5,32.5,27.0,21622,6.0,27.0,5.5,Flat
51.5,50.5,27.5,606646,2.5,48.0,23.0,Hip
52.0,32.5,27.5,606638,5.0,28.0,5.0,Flat
52.0,32.5,27.5,606638,4.5,28.0,5.0,Hip
52.0,45.0,27.5,606638,17.5,27.5,17.5,Hip
52.0,39.5,27.5,606638,11.0,28.5,12.0,Hip
50.0,39.0,29.5,108556,8.0,31.0,9.5,Gable
50.0,41.5,29.5,108556,12.0,29.5,12.0,Hip
48.0,44.5,32.5,529337,12.5,32.5,12.0,Flat
48.0,47.5,32.5,529337,3.0,44.5,15.0,Gable
42.5,42.5,26.5,105497,15.5,26.5,16.0,Hip
141.5,37.0,27.0,105495,10.0,27.0,10.0,Flat
41.0,41.0,29.5,110751,11.5,29.5,11.5,Flat
44.5,44.5,30.5,103617,14.0,30.5,14.0,Flat
21.0,21.0,19.0,100365,2.5,19.0,2.0,Flat
26.5,26.5,19.5,107656,6.5,19.5,7.0,Gable
24.0,24.0,19.5,107651,4.5,19.5,4.5,Gable
25.5,25.5,19.0,109640,6.5,19.0,6.5,Gable
25.5,23.0,19.0,109640,4.0,19.0,4.0,Gable
24.0,24.0,19.0,100364,5.5,19.0,5.0,Hip
24.5,22.0,19.0,107649,3.0,19.0,3.0,Pyramid
25.5,25.5,19.0,100364,6.5,19.0,6.5,Hip
27.0,27.0,18.5,100369,8.0,18.5,8.5,Flat
27.5,27.5,19.0,100368,8.5,19.0,8.5,Gable
25.5,25.5,19.0,100365,6.5,19.0,6.5,Hip
24.0,24.0,18.5,109637,5.5,18.5,5.5,Flat
27.0,24.5,18.5,109639,5.5,18.5,6.0,Flat
27.0,21.5,18.5,109639,3.0,18.5,3.0,Flat
24.5,21.0,18.5,109635,3.0,18.5,2.5,Flat
24.5,24.5,18.5,109638,6.5,18.5,6.0,Hip
26.5,26.5,19.0,100370,8.0,19.0,7.5,Gable
21.5,21.5,19.0,107620,2.5,19.0,2.5,Gable
