data_format,development_key,status,year_completed,clue_small_area,clue_block,street_address,property_id,property_id_2,property_id_3,property_id_4,property_id_5,floors_above,resi_dwellings,studio_dwe,one_bdrm_dwe,two_bdrm_dwe,three_bdrm_dwe,student_apartments,student_beds,student_accommodation_units,institutional_accom_beds,hotel_rooms,serviced_apartments,hotels_serviced_apartments,hostel_beds,childcare_places,office_flr,retail_flr,industrial_flr,storage_flr,education_flr,hospital_flr,recreation_flr,publicdispaly_flr,community_flr,car_spaces,bike_spaces,town_planning_application,longitude,latitude,geopoint
Pre May 16,X001070,COMPLETED,2013,Docklands,1108,Lifestyle Working 818-838 Collins Street DOCKLANDS VIC 3008,622439,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9917,340,0,0,0,0,0,0,0,0,0,0,144.9450198,-37.82101183,"-37.82101183, 144.9450198"
Pre May 16,X000665,COMPLETED,2010,Kensington,520,72-84 Ormond Street KENSINGTON VIC 3031,624168,,,,,4,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9281597,-37.79758981,"-37.79758981, 144.9281597"
Pre May 16,X001154,COMPLETED,2011,North Melbourne,2389,32A Mark Street NORTH MELBOURNE VIC 3051,624189,,,,,3,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9406684,-37.79368238,"-37.79368238, 144.9406684"
Pre May 16,X001106,COMPLETED,2011,Docklands,1109,2-28 Leven Avenue DOCKLANDS VIC 3008,626355,,,,,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9374274,-37.81543651,"-37.81543651, 144.9374274"
Pre May 16,X000349,COMPLETED,2011,Carlton,212,518-538 Drummond Street CARLTON VIC 3053,627567,,,,,7,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9701474,-37.79297916,"-37.79297916, 144.9701474"
Pre May 16,X001109,COMPLETED,2014,Docklands,1109,231-245 Harbour Esplanade DOCKLANDS VIC 3008,627659,,,,,33,248,0,0,0,0,0,0,0,0,0,96,96,0,0,0,962,0,0,0,0,780,0,0,535,0,0,144.943,-37.81356166,"-37.81356166, 144.943"
Pre May 16,X000447,COMPLETED,2012,North Melbourne,310,34-40 Straker Street NORTH MELBOURNE VIC 3051,628744,,,,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,820,0,0,0,0,0,0,0,0,0,0,0,144.9374758,-37.79655262,"-37.79655262, 144.9374758"
Pre May 16,X000646,COMPLETED,2011,Kensington,520,16-40 Derby Street KENSINGTON VIC 3031,631886,,,,,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9268827,-37.79588299,"-37.79588299, 144.9268827"
Pre May 16,X000647,COMPLETED,2012,Kensington,520,28-38 Clifford Terrace KENSINGTON VIC 3031,632507,,,,,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9265766,-37.7959731,"-37.7959731, 144.9265766"
Pre May 16,X000348,COMPLETED,2014,Carlton,212,515-545 Rathdowne Street CARLTON VIC 3053,632536,,,,,0,112,0,44,66,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9709208,-37.79299502,"-37.79299502, 144.9709208"
Pre May 16,X000772,COMPLETED,2014,Docklands,773,118-122 Lorimer Street DOCKLANDS VIC 3008,632854,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,9,0,0,144.9406394,-37.8230168,"-37.8230168, 144.9406394"
Pre May 16,X001103,COMPLETED,2011,Docklands,1109,136 Newquay Promenade DOCKLANDS VIC 3008,632894,,,,,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9375459,-37.81635193,"-37.81635193, 144.9375459"
